Job_Number,Name_of_Work,Contractor,BR_Number,Gross,Nett,Deduction,Category
017-20-000019,Additional works to Construction of Shuttle Cock Ground in ward no 17 R R Nagar Constituency,SKSINFRASTRUCTURESPV,42.0,61662849.0,58417979.0,3244870.0,
128-21-000012,Additional works to Kanaka bhavana at ward No 128,PANDURANGA E,245.0,29590321.0,27206801.0,2383520.0,
104-20-000006,Additional works to construction of Multi purpose building (Atalji Shakthi Souodha) in ward no 104 Govindarajanagar ,DAYANIDHI C M,12.0,1975091.0,1902786.0,72305.0,
104-20-000006,Additional works to construction of Multi purpose building (Atalji Shakthi Souodha) in ward no 104 Govindarajanagar ,DAYANIDHI C M,2.0,8819457.0,8469264.0,350193.0,
124-20-000031,Annually for maintennace and Repairs in ward no 124,SRI YUVAN CONSTRUCTI,79.0,1960261.0,1850486.0,109775.0,
023-18-000021,BALANCE WORK OF CONSTRUCTION OF TAILARING CENTER BUILDING AT SAMADHANANAGARA IN WARD NO 23 NAGAWARA OF HBR LAYOUT SUB DIVISION,"M/s KRIDL, The Technical Manager-01, ",55.0,2998590.0,2683409.0,315181.0,
060-18-000060,BALANCE WORKS FOR COMMUNITY BUILDING FOR SC/ST IN 17TH CROSS NEW BAGALUR LAYOUT IN WARD NO 60 SAGAYAPURAM,KRIDL,104,1493877.0,1344484.0,149393.0,
147-18-000060,BBMP Building maintainance of BBMP building work for the year 2017-18 in Ward No. 147 Adugodi,Sri. Ravi R M,125.0,1181569.0,1133834.0,47735.0,
032-20-000095,BBMP Office Main in Ward No. 32 Kavalabyrasandra .,ABBU  SAMBASIVA REDD,237.0,396648.0,385192.0,11456.0,
136-19-000055,Balalnce work of construction of AMbedkar bhavan building in JJR nagar in ward no-136,RAJANNA M,199,3435158.0,3304887.0,130271.0,
169-18-000036,Balance Building Repair works to Community Hall Building at Lic Colony 2nd cross Ward No169 Byrasandra,Sri Chikkareddappa Narayanaswamy,71.0,1183985.0,1120965.0,63020.0,
168-18-000034,Balance Development of works to B S Chandrashekar Eastern side playground in ward no 168 Pattabhiramanagar,KRIDL,54.0,1409302.0,1248767.0,160535.0,
168-18-000034,Balance Development of works to B S Chandrashekar Eastern side playground in ward no 168 Pattabhiramanagar,KRIDL,101.0,8216434.0,7280919.0,935515.0,
168-18-000035,Balance Development of works to B S Chandrashekar Southern side playground in ward no 168 Pattabhiramanagar,KRIDL BHUSIRI  ACCOU,102.0,7400410.0,6463975.0,936435.0,
168-18-000035,Balance Development of works to B S Chandrashekar Southern side playground in ward no 168 Pattabhiramanagar,KRIDL BHUSIRI  ACCOU,53.0,2160391.0,1896901.0,263490.0,
168-18-000036,Balance Development of works to B S Chandrashekar Western side playground in ward no 168 Pattabhiramanagar,KRIDL,107.0,4931653.0,4350133.0,581520.0,
097-17-000003,Balance portion of Construction of Multipurpose Building in ward no 97 Dayanandanagara,K Damodar and Co,196.0,6295396.0,5621570.0,673826.0,
104-19-000001,Balance work for Construction of Palike Soudha Building in ward no 104 Govindarajanagara,KRIDL,199.0,4956640.0,3907524.0,1049116.0,
136-21-000006,"Balance work for Construction of Providing Flooring, Painting and other Interior works to Multipurpose Building in JJR Nagara ward no 136",SOMASHEKAR G,178,5245617.0,4990560.0,255057.0,
136-21-000002,Balance work for construction of Shuttle and Batbitten Court in JJR Nagar ward no 136,V RAMESH BABU (ARYA & CO),17,5245258.0,4984456.0,260802.0,
119-20-000028,Balance work in MS building A Block in ward No 119,R VELAYUTHAM,75.0,25759500.0,23637800.0,2121700.0,
154-17-000046,Balance work of N R Colony Auditorium Building in ward no 154 Basavanagudi,Polwar Gopalkrishna,5.0,4803473.0,4284588.0,518885.0,
136-20-000017,Balance work of construction of Dialysis Center Building in jjr nagar Ward No 136,Mr  K  BORAIAH,28,10798521.0,10208028.0,590493.0,
128-20-000079,Balance works at BBMP Quatress Building at Garden Vilas in ward no 128,Sri. Rajesh B,49.0,499206.0,453580.0,45626.0,
104-18-000006,Balance works to Multipurpose Palike Shakthi soudha Building in ward no 104 Govindarajanagara,C N S Murthy,111.0,7943545.0,7765973.0,177572.0,
104-18-000006,Balance works to Multipurpose Palike Shakthi soudha Building in ward no 104 Govindarajanagara,C N S Murthy,130.0,2054009.0,1969795.0,84214.0,
110-19-000046,Beautification and Development of Hasi karaga ground in ward no 110. ,Mr  MANJUNATH S V,76.0,3918800.0,3745500.0,173300.0,
046-20-000068,Beautification of Anaganawadi Building at Stepdown and Thimmaiah garden in Ward No. 46 J C Nagara ,C.V.Chandrashekar,205,1853175.0,1779059.0,74116.0,
029-19-000019,Beautification of Buleward in ward no 29 Part-1,NANDAKUMAR G M,23,7814630.0,7423880.0,390750.0,
121-18-000056,Beautification of Compound Walls in Ward No. 121 ,Sri Manvij Shetty,64.0,872032.0,788053.0,83979.0,
044-18-000037,Beautification of Shankaranagara Entrance in ward no.44 Marappanapalya.,kridl,456.0,2994484.0,2626203.0,368281.0,
035-19-000063,Berm cutting and providing CC in infront of Purva atria Apartment in ward 35 ,KRIDL BHUSIRI  ACCOU,108.0,459826.0,412000.0,47826.0,
148-17-000015,Building Maintainance work for the year 2016-17 in ward No.148 Ejipura,Sri K S Ravibabu,215,615882.0,473632.0,142250.0,
148-17-000015,Building Maintainance work for the year 2016-17 in ward No.148 Ejipura,Sri K S Ravibabu,142,1333995.0,1199606.0,134389.0,
169-18-000023,Building repair works to Kaveramma Slum in ward no 169 Byrasandra ,HARISH L,98.0,2521126.0,2394193.0,126933.0,
089-17-000039,CLEANING AND REMOVAL OF DEBRIS AT BBMP PROPERTIES IN WARD NO 89 JOUGUPALYA,HANUMANTH GANAP NAIK,3.0,2091780.0,1985055.0,106725.0,
027-20-000044,COMPREHENSIVE DEVELOPMENT TO NEW AK COLONY MUKUNTAMMA NAGARA AND SURROUNDING AREA IN WARD NO 27,"M/s KRIDL, The Technical Manager-01, ",36,9972647.0,8887199.0,1085448.0,
062-19-000003,COMPREHENSIVE DEVELOPMENTAL WORKS AT 13TH CROSS CHINNAPPA GARDEN AND SURROUNDING AREAS IN WARD NO 62,KRIDL,13.0,4999108.0,4367388.0,631720.0,
062-19-000002,COMPREHENSIVE DEVELOPMENTAL WORKS AT MRS PALYA 165 QUATRES ANDSURROUNDING AREAS IN WARD NO 62,KRIDL,10.0,4923238.0,4298662.0,624576.0,
062-19-000005,COMPREHENSIVE DEVELOPMENTAL WORKS AT RAMAKKA BLOCK AND SURROUNDING AREAS IN WARD NO 62,KRIDl,12.0,4998766.0,4357002.0,641764.0,
060-20-000014,COMPREHENSIVE DEVELOPMENTAL WORKS IN OLD BAGALUR LAYOUT NEWBAGALUR LAYOUT AND SURROUNDING AREA IN WARD NO 60 SAGAYAPURAM,KRIDL,75,9987772.0,8936381.0,1051391.0,
R-198-13-000002,CONST OF GARBAGE SEPARATION CENTRE AT WARD NO 198 HEMMEGEPURA SURVEY NO 8 MAILASANDRA JURIDICTION IN R R NAGAR ZONE,Karnataka Rural Infrastructure Development Ltd8904904737,BR - 000038 / 20-Feb-2018CBR - 006541 / 03-Dec-2019Rtgs - 000293 / 06-Dec-2019,1964390.0,1732414.0,231976.0,
111-18-000003,CONSTRUCRION OF COMMUNITY HALL AT AUSTIN TOWN IN WARD NO 111 SHANTHALA NAGAR 2ND STAGE,KBR INFRATECH LIMITE,71,1646390.0,1553750.0,92640.0,
111-18-000003,CONSTRUCRION OF COMMUNITY HALL AT AUSTIN TOWN IN WARD NO 111 SHANTHALA NAGAR 2ND STAGE,KBR INFRATECH LIMITE,96,2010780.0,1897190.0,113590.0,
184-14-000015,"CONSTRUCTION OF 1ST FLOOR BUILDING ABOVE EXISTING UTTARAHALLI SUB DIVISION , AEE OFFICE IN WARD NO 184",Nallur Nagaraju9448064004,BR - 000121 / 30-Jun-2014CBR - 002165 / 08-Jun-2016Rtgs - 000052 / 13-Jun-2016,572129.0,496794.0,75335.0,
007-17-000050,CONSTRUCTION OF BANGALORE ONE CENTER BUILDING IN COFFEBOARD LAYOUT WARD NO 7 BYATARAYANAPURA,K Shankar Reddy,19.0,1245694.0,1208848.0,36846.0,
060-18-000042,CONSTRUCTION OF CDS IN OLD BAGALUR LAYOUT NORTH SIDE IN WARD NO 60 SAGAYAPURAM,M/s KRIDL,206,2944295.0,2683545.0,260750.0,
060-18-000043,CONSTRUCTION OF CDS IN OLD BAGALUR LAYOUT SOSUTH SIDE IN WARD NO 60 SAGAYAPURAM,M/s KRIDL,208,2979525.0,2717825.0,261700.0,
060-18-000050,CONSTRUCTION OF CHAIN LINK FENCING AND PROTECTION TO BESCOM TRANSFORMS IN NEW BAGALUR LAYOUT IN WARD NO 60 SAGAYAPURAM,M/s KRIDL,51,1978308.0,1808452.0,169856.0,
060-18-000067,CONSTRUCTION OF CLOSED GALLERY AND SITTING ARRANGEMENTS TO NORTHERN SIDE OF CHARLES GROUND IN WARD NO 60 SAGAYAPURAM,M/s KRIDL ,47,5149181.0,4897031.0,252150.0,
060-18-000067,CONSTRUCTION OF CLOSED GALLERY AND SITTING ARRANGEMENTS TO NORTHERN SIDE OF CHARLES GROUND IN WARD NO 60 SAGAYAPURAM,M/s KRIDL ,273,4813920.0,3974425.0,839495.0,
060-18-000068,CONSTRUCTION OF CLOSED GALLERY AND SITTING ARRANGEMENTS TO SOUTHERN SIDE OF CHARLES GROUND IN WARD NO 60 SAGAYAPURAM,M/s KRIDL ,46,4362916.0,4148961.0,213955.0,
060-18-000068,CONSTRUCTION OF CLOSED GALLERY AND SITTING ARRANGEMENTS TO SOUTHERN SIDE OF CHARLES GROUND IN WARD NO 60 SAGAYAPURAM,M/s KRIDL ,272,5585120.0,4714234.0,870886.0,
047-18-000106,CONSTRUCTION OF COMMUNITY HALL AT SRINIVASANAGAR NEAR RAMASWAMY COMPOUND IN WARD NO 47 DJ HALLI,KRIDL BHUSIRI  ACCOU,34.0,4984332.0,4444740.0,539592.0,
060-18-000079,CONSTRUCTION OF COMMUNITY HOUSES FOR SC/ST IN PK COLONY IN WARD NO 60 SAGAYAPURAM,A. Adinarayana Reddy,123,1638083.0,1563990.0,74093.0,
060-18-000079,CONSTRUCTION OF COMMUNITY HOUSES FOR SC/ST IN PK COLONY IN WARD NO 60 SAGAYAPURAM,A. Adinarayana Reddy,218,2314531.0,2211981.0,102550.0,
004-18-000010,CONSTRUCTION OF COMPOUND WALL AND OTHER DEVELOPMENT WORKS TO DR// B. R. AMBEDKAR BHAVAN IN WARD NO 4 AT YELAHANKA,Sri H. V Onkarappa,73.0,2433520.0,2350537.0,82983.0,
004-18-000010,CONSTRUCTION OF COMPOUND WALL AND OTHER DEVELOPMENT WORKS TO DR// B. R. AMBEDKAR BHAVAN IN WARD NO 4 AT YELAHANKA,Sri H. V Onkarappa,66.0,19240343.0,18682374.0,557969.0,
060-18-000076,CONSTRUCTION OF COMPOUND WALL AND OTHER WORKS IN DR.B.R.AMBEDKAR BHAVAN IN WARD NO 60 SAGAYAPURAM,M/s KRIDL ,266,3594333.0,3156948.0,437385.0,
060-18-000076,CONSTRUCTION OF COMPOUND WALL AND OTHER WORKS IN DR.B.R.AMBEDKAR BHAVAN IN WARD NO 60 SAGAYAPURAM,M/s KRIDL ,45,1366550.0,1319820.0,46730.0,
005-19-000005,CONSTRUCTION OF DAY NALM ASHRAYA NIGHT YOJANA BUILDING AT DEFENCE LAYOUT IN WARD NO 5 BYATARAYANAPURA SUB DIVISION,"Executive Engineer,Karnataka Rural Infrastructure Development Ltd",217.0,6999890.0,6181603.0,818287.0,
059-19-000008,CONSTRUCTION OF DR.B.R.AMBEDKAR BHAVAN IN WARD NO 59 MARUTHISEVANAGAR,"M/s KRIDL, The Technical Manager-01,",258.0,8907306.0,7948578.0,958728.0,
059-19-000008,CONSTRUCTION OF DR.B.R.AMBEDKAR BHAVAN IN WARD NO 59 MARUTHISEVANAGAR,"M/s KRIDL, The Technical Manager-01,",51.0,964444.0,877747.0,86697.0,
191-11-000085,CONSTRUCTION OF HOUSES IN KUDLU COLONY AT SINGASANDRA WARD NO. 191(25 NOS),VENKATAKRISHNA9141648915,BR - 000082 / 31-May-2017CBR - 006839 / 16-Oct-2017Rtgs - 000257 / 25-Oct-2017,1984180.0,1676390.0,307790.0,
194-11-000079,CONSTRUCTION OF HOUSES IN VADDARAPALYA SC/ST COLONY IN WARD NO 194 ( 10 NOS ),Venkatakrishna9141648915,BR - 000149 / 31-May-2018CBR - 004510 / 16-Aug-2019Rtgs - 000181 / 11-Sep-2019,1253935.0,1116085.0,137850.0,
060-18-000066,CONSTRUCTION OF OFFICE BUILDING STAGE ENTRANCE ARCH AND OTHER CIVIL WORKS IN CHARLES GROUND IN WARD NO 60 SAGAYAPURAM,M/s KRIDL ,264,4787328.0,4538040.0,249288.0,
060-18-000066,CONSTRUCTION OF OFFICE BUILDING STAGE ENTRANCE ARCH AND OTHER CIVIL WORKS IN CHARLES GROUND IN WARD NO 60 SAGAYAPURAM,M/s KRIDL ,110,5183300.0,4486654.0,696646.0,
061-17-000008,CONSTRUCTION OF SC ST HOUSES IN GANDHI GRAMA A BLOCK FOR THE YEAR 2016 IN WARD IN 61,KRIDL BHUSIRI  ACCOU,233.0,777366.0,730724.0,46642.0,
061-17-000008,CONSTRUCTION OF SC ST HOUSES IN GANDHI GRAMA A BLOCK FOR THE YEAR 2016 IN WARD IN 61,KRIDL BHUSIRI  ACCOU,232.0,804608.0,754430.0,50178.0,
060-18-000093,CONSTRUCTION OF SC/ST COMMUNITY HOUSES IN MS BUILDING PK COLONY IN WARD NO 60 SAGAYAPURAM,M/s KRIDL,82,1105400.0,968791.0,136609.0,
060-18-000093,CONSTRUCTION OF SC/ST COMMUNITY HOUSES IN MS BUILDING PK COLONY IN WARD NO 60 SAGAYAPURAM,M/s KRIDL,178,876845.0,831262.0,45583.0,
196-11-000060,CONSTRUCTION OF SC/ST HOUSES IN KEMMABATHALLI A K COLONY IN WARD NO 196 ANJANAPURA ( 10 NOS ),Ramkrishnappa D9901279704,BR - 000095 / 30-Jul-2016CBR - 004230 / 31-Jul-2017Rtgs - 000172 / 08-Aug-2017,3020060.0,2602285.0,417775.0,
196-11-000062,CONSTRUCTION OF SC/ST HOUSES IN THIPPASANDRA VILLAGE IN WARD NO 196 ANJANAPURA ( 8 NOS ),Ramakrishnappa D 9036441488,BR - 000005 / 30-Apr-2016CBR - 005445 / 27-Sep-2016Rtgs - 000152 / 15-Dec-2016,2045800.0,1766501.0,279299.0,
196-11-000062,CONSTRUCTION OF SC/ST HOUSES IN THIPPASANDRA VILLAGE IN WARD NO 196 ANJANAPURA ( 8 NOS ),Ramakrishnappa D 9036441488,BR - 000096 / 30-Jul-2016CBR - 003404 / 22-Jun-2017Rtgs - 000124 / 30-Jun-2017,256599.0,215849.0,40750.0,
060-18-000072,CONSTRUCTION OF TAILORING AND COMPUTER CENTER BUILDING IN 14TH CROSS IN NEW BAGALUR LAYOUT IN WARD NO 60 SAGAUAPURAM,M/s KRIDL,243,4951325.0,4428161.0,523164.0,
023-18-000029,CONSTRUCTION OF TAILORING CENTER AT SAMADHANANAGAR IN WARD NO 23,"The Technical MAnager-01, KRIDL,",24.0,2930847.0,2655955.0,274892.0,
023-18-000029,CONSTRUCTION OF TAILORING CENTER AT SAMADHANANAGAR IN WARD NO 23,"The Technical MAnager-01, KRIDL,",363.0,565652.0,510190.0,55462.0,
028-18-000046,Chain link fencing to KHB ground and other Developemntal works in Ward No 28,KRIDL BHUSIRI  ACCOU,140.0,4468034.0,3985205.0,482829.0,
013-18-000076,Civil works and Other Development Works at Dog Kennel In Mallasandra ward No.13,Sri. Madhava Reddy.K                   ,13.0,4307914.0,4170061.0,137853.0,
081-20-000012,Clearence of Block spots at MEG Layout in ward No.81 Vignan Nagara,GOPALAGOWDAV,285,518513.0,469282.0,49231.0,
196-15-000025,Clearing levelling and Improvements of Grave Yard of Avalahalli BDA Quarters in ward no 196 Anjanapura ,G Chandrashekar9845183166,BR - 000006 / 28-Apr-2017CBR - 008110 / 20-Dec-2018Rtgs - 000301 / 21-Dec-2018,1819200.0,1545550.0,273650.0,
196-14-000012,"Clearing, Leavelling and Improvements of Grave Yard of Avalhalli B.D.A Quarters in ward no 196",Bhagya lakhsmi construction9663312579,BR - 000250 / 30-Aug-2014CBR - 005157 / 17-Sep-2016Rtgs - 000127 / 06-Oct-2016,1795274.0,1529141.0,266133.0,
196-15-000009,"Clearing, Leveling and Improvements of Grave Yard of Avalahalli Surrounding area in ward no 196",Narasimhaswamy1234567890,BR - 000159 / 31-Oct-2015CBR - 004900 / 21-Aug-2017Rtgs - 000191 / 22-Aug-2017,1796850.0,1566310.0,230540.0,
059-18-000103,Comprahensive Development works in Jai Bharathi Nagar 1st and 2nd cross in ward no 59,"M/s KRIDL, The Technical Manager-01,",112.0,4994506.0,4480630.0,513876.0,
059-18-000104,Comprahensive Development works in Jai Bharathi Nagar 3rd 4th and 5th cross in ward no 59,"M/s KRIDL, The Technical Manager-01,",281.0,4998633.0,4400507.0,598126.0,
059-18-000102,Comprahensive Development works in Nagayyana Palya and surrounding area in ward no 59,KRIDL BHUSIRI  ACCOU,220.0,3045208.0,2665645.0,379563.0,
059-18-000102,Comprahensive Development works in Nagayyana Palya and surrounding area in ward no 59,KRIDL BHUSIRI  ACCOU,,3045208.0,0.0,0.0,
059-18-000102,Comprahensive Development works in Nagayyana Palya and surrounding area in ward no 59,KRIDL BHUSIRI  ACCOU,,3045208.0,0.0,0.0,
059-18-000102,Comprahensive Development works in Nagayyana Palya and surrounding area in ward no 59,KRIDL BHUSIRI  ACCOU,,3045208.0,0.0,0.0,
059-18-000102,Comprahensive Development works in Nagayyana Palya and surrounding area in ward no 59,KRIDL BHUSIRI  ACCOU,174.0,1947477.0,1735560.0,211917.0,
059-18-000101,Comprahensive Development works in Sathy Nagara and surrounding area in ward no 59,"M/s KRIDL, The Technical AManger-01,",82.0,4998390.0,4467440.0,530950.0,
046-19-000031,Comprahensive Developments Matadahalli and Surrounding areas in ward no 46 J C Nagar,Mr  GANGADHARA  L,155,10497034.0,10060890.0,436144.0,
082-21-000015,Comprehensive Development Garudacharpalya (Goshala) Lake in ward no 82,MAHESHKN,27.0,20963264.0,19878507.0,1084757.0,
105-20-000004,Comprehensive Development Works From 1st Cross to 9th Cross in Agrahara dasarahalli Ward No 105,MANJUNATHA B H,90.0,4691136.0,1981474.0,2709662.0,
040-21-000011,Comprehensive Development and other Infrastructures in Thigalararpalya Andrahalli and Surrounding areas in ward no 40,SUKESH RAI,201.0,5919710.0,5375941.0,543769.0,
040-21-000010,Comprehensive Development and other basic Infrastructures in Doddabidarakallu and Surrounding areas in ward no 40,SUKESH RAI,200.0,8904630.0,8024289.0,880341.0,
024-20-000040,Comprehensive Development oat 2nd Block HBR Layout Surrounding area in ward no 24 HBR Layout,K R SANTHOSH KUMAR,146.0,4566948.0,4335245.0,231703.0,
049-19-000021,"Comprehensive Development of 4th, 5th and 6th cross Munithayappa layout in ward no 49, Lingarajapura",NANDISH  GOWDA.G.R,142,1487447.0,1410068.0,77379.0,
002-21-000005,Comprehensive Development of Chowdeshwari layout and surrounding areas in Chowdeshwari ward no 02,"R.Ranganath, ",62.0,10155952.0,9651240.0,504712.0,
024-20-000041,Comprehensive Development of Matkar Lane Surrounding area in ward no 24 HBR Layout,S M  VARADARAJAPPA,83.0,4897131.0,4449624.0,447507.0,
046-19-000017,Comprehensive Development of works at Adi Kabir Ashram and surrounding area in ward no 46 J C Nagar,K SHANKAR REDDY,90,9973579.0,9571530.0,402049.0,
046-19-000018,Comprehensive Development of works at Ankappa Block and surrounding area in ward no 46 J C Nagar,K SHANKAR REDDY,89,9973270.0,9580272.0,392998.0,
104-20-000046,Comprehensive Development of works in wad no 104 Govindarajanagara Jurisdiction,Mohan N,193.0,1912001.0,1716984.0,195017.0,
104-20-000046,Comprehensive Development of works in wad no 104 Govindarajanagara Jurisdiction,Mohan N,170.0,2601514.0,2332645.0,268869.0,
049-18-000021,Comprehensive Development works at 13th cross and surrounding area Nanjundappa layout in ward no 49 Lingarajapura,"The Technical MAnager-01,",354,1998216.0,1758086.0,240130.0,
051-21-000017,Comprehensive Development works in Kasturi Nagara and Surrounding Area in Vijinapura Ward No. 51. ,NAVEEN V,209.0,5408682.0,5136375.0,272307.0,
198-20-000010,Comprehensive Development works in SC-ST Colony in ward no 198 Package-3,B S DHANANJAYA9448151443,BR - 000293 / 09-Jan-2021CBR - 004024 / 12-Jan-2021Rtgs - 000252 / 13-Jan-2021,34097917.0,32556734.0,1541183.0,
198-20-000010,Comprehensive Development works in SC-ST Colony in ward no 198 Package-3,B S DHANANJAYA9448151443,BR - 000384 / 17-Mar-2021CBR - / Rtgs - 000124 / 29-Jul-2021,39277245.0,37335846.0,1941399.0,
003-20-000037,Comprehensive Development works in ward no 03 Attur,Sri. B B Umesha(M/s SMLP Asphalts),109.0,32777990.0,30340548.0,2437442.0,
003-20-000037,Comprehensive Development works in ward no 03 Attur,Sri. B B Umesha(M/s SMLP Asphalts),34.0,19045200.0,17809174.0,1236026.0,
003-20-000037,Comprehensive Development works in ward no 03 Attur,Sri. B B Umesha(M/s SMLP Asphalts),38.0,47836700.0,44502079.0,3334621.0,
135-18-000018,Comprehensive Development works to Padarayanapura in ward no 135,Somashekar .G,237,10789349.0,10271463.0,517886.0,
139-18-000056,Comprehensive Developments to Manik Mastan Sab Darga in ward no 139,KRIDL,133.0,1999101.0,1751868.0,247233.0,
095-18-000029,Comprehensive Developments to Neelagiripapanna block in ward no 95,Technical Manager  (West) Karnataka Rural Infrastructure Development Limited,96,1981725.0,1754912.0,226813.0,
033-20-000032,Comprehensive Developments works at Rahamathnagar Kousarnagar and Surrounding areas in ward no 33 (Manorayanapalya),Gopi Reddy,8.0,10498151.0,10038362.0,459789.0,
033-20-000047,"Comprehensive Developments works at Rahamathnagara, Kousarnagar, Chamundinagara, Babureddy Layout, Dharmanna Garden Dinnur and surrounding areas in ward no 33 (Manorayanapalya)",SREE MANJUNATHA ENTE,312.0,10398358.0,9941589.0,456769.0,
033-20-000048,"Comprehensive Developments works at Rahamathnagara,Manjunatha layout, Dinnur and surrounding areas in ward no 33 (Manorayanapalya)",SREE MANJUNATHA ENTE,308.0,10409622.0,9941600.0,468022.0,
040-21-000005,Comprehensive Developments works in Annapurneshwari Layout Chakranagara Layout Valmiki Nagara and Surrounding areas in Ward No 40,Sri.Krishna B,46.0,19585850.0,17628663.0,1957187.0,
040-21-000007,Comprehensive Developments works in D Group Layout Vidyamanyanagara East and Surrounding areas in Ward No 40 (Stage-2),N  DARSHAN          ,48.0,19441726.0,17437754.0,2003972.0,
040-21-000007,Comprehensive Developments works in D Group Layout Vidyamanyanagara East and Surrounding areas in Ward No 40 (Stage-2),N  DARSHAN          ,,19441726.0,0.0,0.0,
040-21-000007,Comprehensive Developments works in D Group Layout Vidyamanyanagara East and Surrounding areas in Ward No 40 (Stage-2),N  DARSHAN          ,,19441726.0,0.0,0.0,
040-21-000006,Comprehensive Developments works in D Group Layout Vidyamanyanagara West and Surrounding areas in Ward No 40 (Stage-1),N  DARSHAN          ,49.0,19461578.0,17450266.0,2011312.0,
